category,id
projects,/projects/2020/08/21/SyleGAN_Mixer
projects,/projects/2020/08/19/How_NOT_to_train_your_GAN
projects,/projects/2018/09/01/Defective Apparatus_v1.2
projects,/projects/2017/11/15/SFPCs Recoded Project
projects,/projects/2017/10/21/Rotonda Laser KuzeFest2017
projects,/projects/2017/09/08/Proyecto Default
projects,/projects/2017/01/20/Blackmetalizer
projects,/projects/2015/10/27/New York City is flat
random,/random/2015/06/01/FourierStudies
tools,/code/2020/11/30/ofxSoundObjects
tools,/code/2020/11/30/ofxLineaDeTiempo
